,title,author,total words,vividness,passive voice,all adverbs,ly-adverbs,non-ly-adverbs,genre,year
750,Hell and High Water,Charlotte E. English,74572.0,40.18,9.43,3.6,1.48,2.12,"['Urban Fantasy', 'Fantasy']",2020.0

773,Autumn of the Patriarch,Gabriel Garcia Marquez,91820.0,62.01,5.46,1.62,0.24,1.37,[],

785,Light Over London,Julie Kelly,87228.0,45.07,8.53,2.68,0.81,1.86,[],

821,Genesis,Poul Anderson,63080.0,49.15,7.72,3.6,1.44,2.16,"['Science Fiction', 'Fiction', 'Science Fiction Fantasy', 'Audiobook', 'Hard Science Fiction', 'Sci Fi Fantasy', 'Speculative Fiction']",1995.0

841,Marlene,Philippe Djian,49537.0,51.26,8.65,2.75,1.0,1.75,"['Contemporary', 'Fiction', 'German Literature', 'Drama', 'Adult']",2017.0

846,Gateway to War,J. N. Chaney & Christopher Hopper,93393.0,40.74,8.09,2.93,0.82,2.11,[],

851,Psmith In the City,P. G. Wodehouse,25487.0,32.69,8.55,3.57,1.6,1.96,"['Fiction', 'Humor', 'Classics', 'Comedy', 'British Literature', '20th Century', 'Historical Fiction']",1910.0

870,Act of Valor,Tom Clancy,87312.0,44.05,7.06,2.92,1.02,1.9,[],

873,What You Don't Remember,Kristy Cooper & Steve Johnson,79738.0,40.51,8.71,2.9,0.89,2.01,[],

901,Drone,M. L. Buchman,85494.0,42.76,8.43,3.38,1.26,2.12,"['Thriller', 'Military Fiction', 'Contemporary', 'Fiction', 'Action', 'Suspense']",2019.0

904,Devil's Due,Taylor Anderson,172799.0,47.96,7.38,4.07,1.81,2.26,"['Alternate History', 'Science Fiction', 'Fantasy', 'Fiction', 'Military Fiction', 'War', 'Historical Fiction']",2017.0

919,"Pan's Labyrinth, The Labyrinth of the Faun",Guillermo del Toro & Cornelia Funke,53468.0,65.18,7.11,2.71,0.82,1.89,[],

926,Hell,Jeffrey Archer,72548.0,38.66,8.41,2.5,0.76,1.75,"['Nonfiction', 'Biography', 'Memoir', 'Autobiography', 'Audiobook', 'Crime', 'True Crime']",2002.0

943,The Secret Life of Mr. Roos,Hakan Nesser,129223.0,36.15,9.36,3.74,1.33,2.41,"['Crime', 'Fiction', 'Thriller', 'Mystery', 'Swedish Literature', 'Nordic Noir', 'Noir']",2008.0

956,Goodbye My Precious Child,M. A. Comley,60550.0,28.3,10.02,2.87,0.83,2.04,['Fiction'],2019.0

966,Mika,Lee Murray & Piper Mejia,18448.0,62.96,7.55,2.67,0.95,1.72,[],

977,Mirror,Max Ellendale,102731.0,51.83,5.51,2.59,0.99,1.6,"['Lesbian', 'Crime', 'Mystery', 'LGBT', 'Thriller']",2017.0

1021,Marital Law,David Brown,83104.0,35.58,7.81,3.03,1.27,1.76,[],

1028,Demon Child,Dean Koontz,48293.0,47.46,8.44,3.12,1.29,1.84,"['Horror', 'Gothic', 'Fiction', 'Thriller']",1971.0

1033,Transfer,Travis Hill,131364.0,32.78,7.89,2.7,1.02,1.68,[],2018.0

1034,Drone,Kyle Alexander Romines,85067.0,43.6,7.08,2.36,0.85,1.5,[],2019.0

1037,Ghost Recon,Tom Clancy,78950.0,54.83,6.65,2.56,0.83,1.73,"['Fiction', 'Thriller', 'Military Fiction', 'War', 'Action', 'Adventure', 'Science Fiction']",2008.0

1044,Stars Beyond,S. K. Dunstall,107869.0,35.52,10.84,2.81,0.84,1.97,"['Science Fiction', 'Space Opera', 'Space', 'Aliens', 'Adult', 'Fiction', 'Fantasy']",2020.0

1061,The Hardy Boys: Trapped At Sea,Franklin W. Dixon,31820.0,50.41,6.84,2.74,1.01,1.73,[],

1074,Phoenix,Mark Dawson,17581.0,43.57,8.62,2.09,0.49,1.6,"['Fiction', 'Thriller', 'Short Stories']",2017.0

1075,The Serpent,Sarah Fine,95156.0,50.61,8.15,2.7,0.98,1.72,"['Urban Fantasy', 'Fantasy', 'Paranormal', 'Romance', 'Magic', 'Adult', 'Paranormal Romance']",2018.0

1090,Sunday After the War,Henry Miller,96205.0,37.88,7.87,3.1,1.15,1.95,[],

1098,The Damaged,Brett Battles,55348.0,35.11,8.65,2.69,0.77,1.92,"['Fiction', 'Thriller', 'Mystery Thriller', 'Suspense']",2019.0

1100,Goosebumps: Why I'm Afraid of Bees,R. L. Stine,20624.0,54.13,7.06,3.39,1.3,2.09,"['Horror', 'Fiction', 'Childrens', 'Young Adult', 'Middle Grade', 'Fantasy', 'Mystery']",1994.0

1120,"My Friend, the Gifted",E. L. Aldryc,76415.0,27.87,9.28,3.06,1.22,1.84,[],2020.0

1135,The Other Mother,Michel Bussi,114503.0,47.01,7.73,3.14,1.25,1.89,"['Thriller', 'Mystery', 'France', 'Crime', 'Fiction', 'Mystery Thriller', 'Detective']",2021.0

1137,Peculiar Peril,Jeff VenderMeer,186786.0,59.57,7.68,3.35,0.85,2.5,[],

1168,Goosebumps: Welcome to Dead House,R. L. Stine,23109.0,59.19,7.3,3.3,1.34,1.96,"['Horror', 'Childrens', 'Fiction', 'Middle Grade', 'Young Adult', 'Fantasy', 'Paranormal']",1992.0

1192,Twelve Naughty Days,Various Authors,103150.0,56.67,7.94,2.98,0.97,2.01,[],

1203,Anne of Avonlea,L. M. Montgomery,88551.0,47.16,9.51,4.02,1.39,2.63,"['Classics', 'Fiction', 'Young Adult', 'Historical Fiction', 'Childrens', 'Historical', 'Romance']",1909.0

