title,author,total words,vividness,passive voice,all adverbs,ly-adverbs,non-ly-adverbs,genre,year
A Queer and Pleasant Danger,Kate Bornstein,90643.0,43.0,7.99,2.7,0.92,1.78,"['Memoir', 'Nonfiction', 'Queer', 'LGBT', 'Biography', 'Transgender', 'Gender']",2012
New Star Rising,Tracy Cooper-Posey,59561.0,48.53,8.71,3.03,1.09,1.94,[],nan
The Crow Ride,Kalyn Josephson,84101.0,60.57,6.45,2.48,0.9,1.58,"['Fantasy', 'Young Adult', 'Romance', 'Young Adult Fantasy', 'High Fantasy', 'Magic', 'Fiction']",2020
Fierce Love,Susan Scott,53420.0,22.15,10.09,2.98,1.11,1.88,"['Self Help', 'Nonfiction', 'Psychology', 'Inspirational', 'Personal Development', 'Relationships', 'Productivity']",2022
The Truce,M. D. Krix,15216.0,24.3,11.54,3.3,1.08,2.21,[],2021
Counterpoint,Philip Kennicott,82484.0,44.5,6.09,3.23,1.37,1.86,"['Music', 'Memoir', 'Nonfiction', 'Biography', 'Audiobook', 'Classical Music', 'Biography Memoir']",2020
Pretty Little Liars,Sara Shepard,59202.0,64.19,7.09,3.42,1.39,2.03,"['Young Adult', 'Mystery', 'Contemporary', 'Fiction', 'Romance', 'Chick Lit', 'Thriller']",2006
Rainbow Rainbow,Lydia Conklin,58045.0,71.8,7.78,2.71,0.79,1.92,"['Short Stories', 'LGBT', 'Fiction', 'Queer', 'Contemporary', 'Adult', 'Romance']",2022
The Extortionist,Vincent Zandri,68817.0,56.48,7.42,2.96,0.93,2.03,[],2019
The Baker’s Secret,Stephen P. Kiernan,77889.0,67.6,5.79,2.71,0.71,2.0,"['Historical Fiction', 'Fiction', 'World War II', 'Historical', 'France', 'War', 'Audiobook']",2017
The Hardy Boys: The Yellow Feather Mystery,Franklin W. Dixon,34331.0,45.96,7.15,3.02,1.24,1.79,"['Mystery', 'Fiction', 'Young Adult', 'Childrens', 'Adventure', 'Classics', 'Detective']",1953
