,title,author,total words,vividness,passive voice,all adverbs,ly-adverbs,non-ly-adverbs,genre,year
840,Should We Stay or Should We Go,Lionel Shriver,82756.0,44.09,8.31,3.89,1.78,2.11,"['Fiction', 'Contemporary', 'Death', 'Literary Fiction', 'Book Club', 'Audiobook', 'Marriage']",2021.0
841,Bug,Giacomo Sartori,76561.0,49.38,8.64,3.3,0.99,2.31,"['Fiction', 'Science Fiction', 'Italy', 'Disability']",2019.0
842,The Shuddering City,Sharon Shinn,146311.0,42.39,8.91,3.54,1.22,2.31,"['Fantasy', 'Romance', 'Fantasy Romance', 'Adult', 'Fiction', 'Science Fiction', 'Science Fiction Fantasy']",2022.0
843,The Echo Room,Parker Peevyhouse,80366.0,60.38,7.16,2.28,0.54,1.74,"['Young Adult', 'Science Fiction', 'Time Travel', 'Mystery', 'Thriller', 'Mystery Thriller', 'Fiction']",2018.0
844,Battle Ready,Tom Clancy,159384.0,26.04,7.21,2.75,1.16,1.59,"['Military Fiction', 'Nonfiction', 'History', 'Military History', 'Biography', 'War', 'Thriller']",2004.0
845,Severed,Peter Laws,98110.0,57.64,7.05,3.42,1.03,2.39,"['Horror', 'Crime']",2019.0
846,The Familiar Dark,Amy Engel,66454.0,49.08,8.17,2.56,0.7,1.85,"['Thriller', 'Mystery', 'Fiction', 'Mystery Thriller', 'Suspense', 'Adult', 'Contemporary']",2020.0
847,Aphro-ism,Aph Ko & Syl Ko,42930.0,34.91,7.8,3.69,1.74,1.96,"['Feminism', 'Nonfiction', 'Vegan', 'Race', 'Essays', 'Social Justice', 'Philosophy']",2017.0
848,Bad Religion,Ross Douthat,108656.0,20.07,5.21,3.04,1.47,1.57,"['Religion', 'Nonfiction', 'History', 'Christianity', 'Politics', 'Christian', 'Theology']",2012.0
849,Bomber’s Moon,Archer Mayor,96838.0,34.59,7.87,3.51,1.51,2.0,"['Mystery', 'Fiction', 'Crime', 'Thriller', 'Detective', 'Audiobook', 'Mystery Thriller']",2019.0
850,Erec Rex: The Search for Truth,Kaza Kingsley,126688.0,50.62,8.75,3.12,0.68,2.44,"['Fantasy', 'Young Adult', 'Magic', 'Fiction', 'Adventure', 'Middle Grade', 'Dragons']",
851,Night of the Mannequins,Stephen Graham Jones,27018.0,44.02,9.16,3.5,1.14,2.36,"['Horror', 'Novella', 'Fiction', 'Audiobook', 'Adult', 'Thriller', 'Short Stories']",2020.0
852,The Room in the Attic,Louise Douglas,88040.0,50.34,8.62,2.55,0.72,1.83,"['Historical Fiction', 'Mystery', 'Gothic', 'Horror', 'Fiction', 'Thriller', 'Paranormal']",2021.0
853,Danse Macabre,Kory M. Shrum,74926.0,54.73,7.67,2.16,0.64,1.52,"['Thriller', 'Fantasy', 'Paranormal', 'Mystery Thriller']",2018.0
854,Second Opinion,Michael Palmer,91813.0,38.52,8.61,3.3,1.33,1.96,"['Fiction', 'Mystery', 'Thriller', 'Medical', 'Suspense', 'Romance', 'Mystery Thriller']",2009.0
855,Mudshark,Gary Paulsen,11892.0,55.22,6.91,3.09,1.06,2.03,"['Humor', 'Mystery', 'Fiction', 'Childrens', 'Realistic Fiction', 'Middle Grade', 'Juvenile']",2009.0
856,The Man with the Silver Saab,Alexander McCall Smith,72033.0,30.14,10.31,3.57,1.24,2.33,"['Mystery', 'Fiction', 'Humor', 'Sweden', 'Crime', 'Detective', 'Adult Fiction']",2021.0
857,The Family Tree,Steph Mullin & Nicole Mabry,102424.0,43.38,7.8,3.33,1.34,1.99,"['Thriller', 'Mystery', 'Mystery Thriller', 'Fiction', 'Crime', 'Suspense', 'Adult']",2021.0
858,The Suicide Motor Club,Christopher Buehlman,91709.0,60.36,6.99,2.89,0.76,2.13,"['Horror', 'Vampires', 'Fiction', 'Paranormal', 'Fantasy', 'Thriller', 'Urban Fantasy']",2016.0
859,Circle of Lies,Paul J. Teague,70417.0,32.22,10.33,2.81,0.75,2.06,"['Fiction', 'Amazon']",2020.0
860,Fiercest Enemy,Rick Reed,101592.0,43.08,9.16,1.72,0.52,1.2,['Mystery'],2020.0
861,Exegesis,Astro Teller,29066.0,14.82,9.88,2.81,1.01,1.8,"['Science Fiction', 'Fiction', 'Literature', 'Artificial Intelligence', 'Technology']",1997.0
862,Ivory Apples,Lisa Goldstein,93628.0,39.02,8.79,3.46,0.79,2.67,"['Fantasy', 'Fiction', 'Magic', 'Books About Books', 'Urban Fantasy', 'Young Adult', 'Science Fiction Fantasy']",2019.0
863,The Ninth Metal,Benjamin Percy,93213.0,70.16,7.06,2.6,0.76,1.84,"['Science Fiction', 'Fiction', 'Thriller', 'Mystery', 'Science Fiction Fantasy', 'Fantasy', 'Speculative Fiction']",2021.0
864,The Kremlin Strike,Dale Brown,114584.0,50.07,5.55,3.71,1.98,1.73,"['Fiction', 'Thriller', 'Military Fiction', 'Science Fiction', 'Adventure', 'Action', 'War']",2019.0
865,Golden Hill,Francis Spufford,94769.0,50.91,6.7,3.15,1.09,2.07,"['Historical Fiction', 'Fiction', 'Historical', 'New York', 'Mystery', 'Literary Fiction', 'Audiobook']",2016.0
866,The Pregnant Widow,Martin Amis,119584.0,49.06,8.26,3.62,1.11,2.52,"['Fiction', 'Contemporary', 'British Literature', 'Novels', 'Historical Fiction', 'Literary Fiction', 'Italy']",2010.0
867,Amateurs,Marcus Sakey,92006.0,46.53,8.66,2.6,0.66,1.95,"['Mystery', 'Thriller', 'Fiction', 'Crime', 'Suspense', 'Mystery Thriller', 'Novels']",2009.0
